rpm,omega_rad_s,x_start_m,x_position_m,x_end_m,remaining_path_m,y_line_m,y_position_m,line_y_m,ap_stable_mm,max_abs_w_m,rms_w_m,sim_steps,sim_time_s,termination_reason,stable_at_boundary,pass_completed_at_boundary,unstable_ap_mm,unstable_max_abs_w_m,unstable_reason
999.9999999999999,104.71975511965977,1.0,1.0,0.9933333333333334,0.8933333333333334,0.2,0.2,0.2,0.17578125,0.00040645500214808554,0.00014250074802981877,500,0.5,survived_window_no_chatter,True,False,0.2109375,0.0006909212461315129,safety_max_steps_reached
999.9999999999999,104.71975511965977,1.0,1.0,0.9933333333333334,0.8933333333333334,0.2,0.2,0.2,0.17578125,0.0004055018923927782,0.00014212423691128742,500,0.5,survived_window_no_chatter,True,False,0.2109375,0.0006904345908666865,safety_max_steps_reached
1054.5454545454545,110.4317417625503,1.0,1.0,0.9929696969696971,0.8929696969696971,0.2,0.2,0.2,0.17578125,0.000298640468797671,0.00011605651517602534,500,0.5,survived_window_no_chatter,True,False,0.2109375,0.0005362123337607045,safety_max_steps_reached
1381.8181818181818,144.7036616198935,1.0,1.0,0.9907878787878788,0.8907878787878788,0.2,0.2,0.2,0.421875,0.0004967214789793065,0.00024280456605228203,500,0.5,survived_window_no_chatter,True,False,0.45703125,0.000621378347838445,safety_max_steps_reached
1709.090909090909,178.9755814772367,1.0,1.0,0.9886060606060605,0.8886060606060605,0.2,0.2,0.2,0.6328125,0.0004956179121746264,0.00032317213713862564,500,0.5,survived_window_no_chatter,True,False,0.66796875,0.0005237583146573797,safety_max_steps_reached
2036.3636363636363,213.24750133457988,1.0,1.0,0.9864242424242425,0.8864242424242426,0.2,0.2,0.2,0.73828125,0.0004965160325760952,0.00037306399234471446,500,0.5,survived_window_no_chatter,True,False,0.7734375,0.0005360136931065696,safety_max_steps_reached
2363.6363636363635,247.51942119192307,1.0,1.0,0.9842424242424241,0.8842424242424242,0.2,0.2,0.2,0.73828125,0.000490375365170467,0.0003753731861468867,500,0.5,survived_window_no_chatter,True,False,0.7734375,0.0005141454712148202,safety_max_steps_reached
2690.909090909091,281.7913410492663,1.0,1.0,0.982060606060606,0.882060606060606,0.2,0.2,0.2,0.7734375,0.000496621385048033,0.000390401300177278,500,0.5,survived_window_no_chatter,True,False,0.80859375,0.000520500138941059,safety_max_steps_reached
3018.1818181818176,316.06326090660946,1.0,1.0,0.9798787878787879,0.8798787878787879,0.2,0.2,0.2,0.703125,0.0004932253843177025,0.00035697873348352737,500,0.5,survived_window_no_chatter,True,False,0.73828125,0.000510710230724586,safety_max_steps_reached
3345.454545454545,350.3351807639527,1.0,1.0,0.9776969696969695,0.8776969696969695,0.2,0.2,0.2,0.66796875,0.0004974550188620671,0.00034008034573824655,500,0.5,survived_window_no_chatter,True,False,0.703125,0.000515771463406941,safety_max_steps_reached
3672.727272727273,384.6071006212959,1.0,1.0,0.9755151515151517,0.8755151515151517,0.2,0.2,0.2,0.66796875,0.0004844497692768433,0.00033815620708976644,500,0.5,survived_window_no_chatter,True,False,0.703125,0.0005006009403492124,safety_max_steps_reached
3999.9999999999995,418.87902047863906,1.0,1.0,0.9733333333333335,0.8733333333333335,0.2,0.2,0.2,0.703125,0.0004924794302483288,0.00034064412981291804,500,0.5,survived_window_no_chatter,True,False,0.73828125,0.0005076083572421418,safety_max_steps_reached
