rpm,omega_rad_s,x_start_m,x_position_m,x_end_m,remaining_path_m,y_line_m,ap_stable_mm,max_abs_w_m,rms_w_m,rms_w_previous_window_m,rms_w_last_window_m,rms_growth_ratio,sim_steps,sim_time_s,termination_reason,stable_at_boundary,pass_completed_at_boundary,unstable_ap_mm,unstable_max_abs_w_m
400.0,41.88790204786391,0.1,0.1,0.0,0.09000000000000001,0.2,0.6,3.0157323940353087e-05,1.6202951241256908e-05,1.5853668296360426e-05,1.5695278605639252e-05,0.9900092718126609,4000,1.9999999999998352,,True,False,,
590.9090909090909,61.87985529798077,0.1,0.1,0.0,0.09000000000000001,0.2,0.6,3.068834662982341e-05,1.597931286085834e-05,1.5541359326386597e-05,1.53013557567158e-05,0.9845571056797257,4000,1.9999999999998352,,True,False,,
781.8181818181819,81.87180854809763,0.1,0.1,0.0,0.09000000000000001,0.2,0.6,2.887866810675731e-05,1.579638075110371e-05,1.5269885239084045e-05,1.496317151715711e-05,0.9799138161731638,4000,1.9999999999998352,,True,False,,
972.7272727272726,101.8637617982145,0.1,0.1,0.0,0.09000000000000001,0.2,0.6,3.057457432899581e-05,1.5580512754637855e-05,1.4963932836553686e-05,1.4583236121378752e-05,0.9745590467871539,4000,1.9999999999998352,,True,False,,
1163.6363636363635,121.85571504833136,0.1,0.1,0.0,0.09000000000000001,0.2,0.6,3.0241319735328024e-05,1.5399694217727493e-05,1.4687660247877428e-05,1.4236791841077072e-05,0.9693029114786671,4000,1.9999999999998352,,True,False,,
1354.5454545454545,141.84766829844824,0.1,0.1,0.0,0.09000000000000001,0.2,0.6,2.9623533704586755e-05,1.5204525666906719e-05,1.439351618131075e-05,1.388839752018033e-05,0.9649065138241696,4000,1.9999999999998352,,True,False,,
1545.4545454545455,161.8396215485651,0.1,0.1,0.0,0.09000000000000001,0.2,0.6,3.0429663444936727e-05,1.5023728975573675e-05,1.4142251733761385e-05,1.3554191594777054e-05,0.9584182101934678,4000,1.9999999999998352,,True,False,,
1736.3636363636363,181.83157479868197,0.1,0.1,0.0,0.09000000000000001,0.2,0.6,3.036622429590363e-05,1.4831563713145454e-05,1.384956016840674e-05,1.3204334155622783e-05,0.9534118047838205,4000,1.9999999999998352,,True,False,,
1927.2727272727273,201.82352804879883,0.1,0.1,0.0,0.09000000000000001,0.2,0.6,2.992201303552656e-05,1.4673349617812558e-05,1.3603242948221638e-05,1.2866236935656072e-05,0.945821300452337,4000,1.9999999999998352,,True,False,,
2118.181818181818,221.81548129891567,0.1,0.1,0.0,0.09000000000000001,0.2,0.6,2.9924879956274002e-05,1.4473688844464366e-05,1.3306896396165174e-05,1.2546215680181112e-05,0.9428356024321887,4000,1.9999999999998352,,True,False,,
2309.090909090909,241.80743454903256,0.1,0.1,0.0,0.09000000000000001,0.2,0.6,2.95607888117485e-05,1.4302479041863934e-05,1.2986495755512386e-05,1.2244281672856916e-05,0.9428472394225038,4000,1.9999999999998352,,True,False,,
2500.0,261.79938779914943,0.1,0.1,0.0,0.09000000000000001,0.2,0.6,2.968387941937722e-05,1.416227974835533e-05,1.2861570532712556e-05,1.1978553423141847e-05,0.9313445346876718,4000,1.9999999999998352,,True,False,,
400.0,41.88790204786391,0.28,0.28,0.0,0.27,0.2,0.6,0.00030844160520053466,0.00015371761334466845,0.00013698436888750161,0.00016483185003657414,1.2032894802175733,4000,1.9999999999998352,,True,False,,
590.9090909090909,61.87985529798077,0.28,0.28,0.0,0.27,0.2,0.6,0.0006109076993538057,0.0003341972907743955,0.0003572068183239732,0.00035350024925939137,0.9896234649663935,4000,1.9999999999998352,,True,False,,
781.8181818181819,81.87180854809763,0.28,0.28,0.0,0.27,0.2,0.6,0.0009154976321784869,0.0005128322642390518,0.0005657490455862367,0.0005403140349541208,0.9550418850362182,4000,1.9999999999998352,,True,False,,
972.7272727272726,101.8637617982145,0.28,0.28,0.0,0.27,0.2,0.6,0.0010720489187380825,0.0005954975651302157,0.0006743612000347034,0.0006530977889640573,0.9684688100834511,4000,1.9999999999998352,,True,False,,
1163.6363636363635,121.85571504833136,0.28,0.28,0.0,0.27,0.2,0.6,0.0011141001847066343,0.000620945421893237,0.0007142037350024018,0.0006975766495438355,0.9767194084213094,4000,1.9999999999998352,,True,False,,
1354.5454545454545,141.84766829844824,0.28,0.28,0.0,0.27,0.2,0.6,0.0010900586214475606,0.0006046120152831921,0.0007091784266029777,0.0006942938710019858,0.9790115504890777,4000,1.9999999999998352,,True,False,,
1545.4545454545455,161.8396215485651,0.28,0.28,0.0,0.27,0.2,0.6,0.001029312048403041,0.00057033180116095,0.0006750143935362508,0.0006573845102364078,0.9738822112999932,4000,1.9999999999998352,,True,False,,
1736.3636363636363,181.83157479868197,0.28,0.28,0.0,0.27,0.2,0.6,0.0009212680509078935,0.0004965828857104469,0.00059973047775127,0.0005884028517258309,0.9811121387928912,4000,1.9999999999998352,,True,False,,
1927.2727272727273,201.82352804879883,0.28,0.28,0.0,0.27,0.2,0.6,0.0008978618059345092,0.0004529801011765219,0.0005769974552224033,0.0005684899388703681,0.9852555392141964,4000,1.9999999999998352,,True,False,,
2118.181818181818,221.81548129891567,0.28,0.28,0.0,0.27,0.2,0.6,0.0005830682593315495,0.0002510077068859429,0.0002902084018410822,0.00033577460683615386,1.1570120117336358,4000,1.9999999999998352,,True,False,,
2309.090909090909,241.80743454903256,0.28,0.28,0.0,0.27,0.2,0.6,0.0003179164926495829,0.00016728476651691146,0.0001747995639915761,0.00018531901257340012,1.0601800619041073,4000,1.9999999999998352,,True,False,,
2500.0,261.79938779914943,0.28,0.28,0.0,0.27,0.2,0.6,0.00023584771602597676,0.00012953941982957905,0.00011842616268896936,0.00011361057196830546,0.9593367663755904,4000,1.9999999999998352,,True,False,,
400.0,41.88790204786391,0.45999999999999996,0.45999999999999996,0.0,0.44999999999999996,0.2,0.6,0.0018299301699932552,0.0009826655593652273,0.0010153740688937161,0.0010125092034965978,0.9971785123484198,4000,1.9999999999998352,,True,False,,
590.9090909090909,61.87985529798077,0.45999999999999996,0.45999999999999996,0.0,0.44999999999999996,0.2,0.6,0.002711805427429089,0.0012970017044374145,0.001300354851093578,0.0013032795270891302,1.0022491368360664,4000,1.9999999999998352,,True,False,,
781.8181818181819,81.87180854809763,0.45999999999999996,0.45999999999999996,0.0,0.44999999999999996,0.2,0.6,0.0031545942178270924,0.0017976301436980098,0.0018347319246095025,0.0018457112739108535,1.0059841708502935,4000,1.9999999999998352,,True,False,,
972.7272727272726,101.8637617982145,0.45999999999999996,0.45999999999999996,0.0,0.44999999999999996,0.2,0.6,0.0037456265545910707,0.0022559892497883128,0.002302298158547109,0.0023115072481839105,1.0039999552632284,4000,1.9999999999998352,,True,False,,
1163.6363636363635,121.85571504833136,0.45999999999999996,0.45999999999999996,0.0,0.44999999999999996,0.2,0.6,0.004683678053664673,0.002783511056072349,0.0028727644774568834,0.0028566042346065195,0.9943746718614852,4000,1.9999999999998352,,True,False,,
1354.5454545454545,141.84766829844824,0.45999999999999996,0.45999999999999996,0.0,0.44999999999999996,0.2,0.6,0.005626387803932332,0.00339232435065022,0.0035468792367735883,0.0034927653966697154,0.9847432527324789,4000,1.9999999999998352,,True,False,,
