rpm,omega_rad_s,y0_m,ac_stable_mean_mm,ac_stable_std_mm,ac_stable_samples_mm,n_mc,max_abs_w_m,rms_w_m,rms_growth_ratio,sim_steps,sim_time_s,termination_reason,stable_at_boundary,unstable_ac_mm,unstable_max_abs_w_m
499.99999999999994,52.35987755982988,0.05,3.046875,0.0,"[3.046875, 3.046875, 3.046875]",3,0.005364647233766103,0.0024807873711056284,0.9361733950393288,4000,7.999999999999341,,True,3.125,0.009522126361576967
3927.0169401868075,411.23625232711805,0.05,3.59375,0.0,"[3.59375, 3.59375, 3.59375]",3,0.0052079232635315565,0.001897705322864931,0.6014019744778767,4000,7.999999999999341,,True,3.671875,0.009582879006321845
7354.033880373615,770.1126270944062,0.05,4.114583333333333,0.036828478186799345,"[4.0625, 4.140625, 4.140625]",3,0.0054303333939518285,0.002370901969553336,0.9751291158469958,2693,5.385999999999629,pass_completed,True,4.21875,0.01
10781.050820560422,1128.9890018616943,0.05,4.53125,0.0,"[4.53125, 4.53125, 4.53125]",3,0.0056786089815654365,0.0023952639281443664,0.9779723579101675,1837,3.673999999999817,pass_completed,True,4.609375,0.01
14208.06776074723,1487.8653766289826,0.05,4.817708333333333,0.14731391274719738,"[4.609375, 4.921875, 4.921875]",3,0.005599655101411448,0.0026136902116594414,1.1111219701220463,1394,2.7879999999999145,pass_completed,True,5.0,0.005151092912377918
17635.084700934036,1846.7417513962707,0.05,4.817708333333333,0.14731391274719738,"[4.609375, 4.921875, 4.921875]",3,0.005790762238536416,0.0022871421147795273,0.8786469205327065,1123,2.2459999999999742,pass_completed,True,5.0,0.01
21062.101641120844,2205.618126163559,0.05,4.921875,0.0,"[4.921875, 4.921875, 4.921875]",3,0.005467754180681162,0.002184249558586304,0.8466685290898374,941,1.8820000000000014,pass_completed,True,5.0,0.01
24489.118581307648,2564.494500930847,0.05,5.0,0.0,"[5.0, 5.0, 5.0]",3,0.005420826655160411,0.0021772700888866236,0.8660183509086989,809,1.6180000000000012,pass_completed,True,5.078125,0.01
27916.13552149446,2923.3708756981355,0.05,5.0,0.0,"[5.0, 5.0, 5.0]",3,0.005278937799677323,0.0021621496212454235,0.8541055338446675,710,1.420000000000001,pass_completed,True,5.078125,0.005020752418291432
31343.152461681264,3282.2472504654233,0.05,5.026041666666667,0.036828478186799345,"[5.0, 5.078125, 5.0]",3,0.005227942765720017,0.0021740862894365923,0.8399078566006891,632,1.264000000000001,pass_completed,True,5.078125,0.01
34770.16940186807,3641.1236252327117,0.05,5.0,0.0,"[5.0, 5.0, 5.0]",3,0.005477742677268159,0.0021535095162194466,0.8428930385445099,570,1.1400000000000008,pass_completed,True,5.078125,0.01
38197.18634205488,4000.0,0.05,5.078125,0.0,"[5.078125, 5.078125, 5.078125]",3,0.0056014447476068875,0.002195557023543444,0.8601682712335095,519,1.0380000000000007,pass_completed,True,5.15625,0.01
499.99999999999994,52.35987755982988,0.49999999999999994,3.046875,0.0,"[3.046875, 3.046875, 3.046875]",3,0.0037598748287298797,0.0018012509720386205,1.057716163603839,4000,7.999999999999341,,True,3.125,0.00911913622422575
3927.0169401868075,411.23625232711805,0.49999999999999994,3.59375,0.0,"[3.59375, 3.59375, 3.59375]",3,0.0037723364687466177,0.0016193604629025416,0.6553269048278437,4000,7.999999999999341,,True,3.671875,0.009374562128621883
7354.033880373615,770.1126270944062,0.49999999999999994,4.140625,0.0,"[4.140625, 4.140625, 4.140625]",3,0.003925980210047102,0.002076102509292931,0.9930694868194756,2693,5.385999999999629,pass_completed,True,4.21875,0.009125405069247642
10781.050820560422,1128.9890018616943,0.49999999999999994,4.53125,0.0,"[4.53125, 4.53125, 4.53125]",3,0.0057091797565576845,0.0024314901599234396,1.2685387191542064,1837,3.673999999999817,pass_completed,True,4.609375,0.00896152554513614
14208.06776074723,1487.8653766289826,0.49999999999999994,4.921875,0.0,"[4.921875, 4.921875, 4.921875]",3,0.006081966281435193,0.002554755174293965,1.3256044301815701,1394,2.7879999999999145,pass_completed,True,5.0,0.009972729665473492
17635.084700934036,1846.7417513962707,0.49999999999999994,5.364583333333333,0.036828478186799345,"[5.390625, 5.3125, 5.390625]",3,0.008507944880782109,0.0029373746672954264,1.5518630128061568,1123,2.2459999999999742,pass_completed,True,5.46875,0.01
21062.101641120844,2205.618126163559,0.49999999999999994,5.833333333333333,0.036828478186799345,"[5.859375, 5.859375, 5.78125]",3,0.007108390050146445,0.0028977437945100727,1.4677502100366595,941,1.8820000000000014,pass_completed,True,5.859375,0.01
24489.118581307648,2564.494500930847,0.49999999999999994,6.276041666666667,0.036828478186799345,"[6.25, 6.328125, 6.25]",3,0.0073635820188039346,0.003000495264438518,1.493571298483538,809,1.6180000000000012,pass_completed,True,6.328125,0.01
27916.13552149446,2923.3708756981355,0.49999999999999994,6.458333333333333,0.1327869664998121,"[6.40625, 6.640625, 6.328125]",3,0.005335810747846632,0.002650467554945466,1.270923490427822,710,1.420000000000001,pass_completed,True,6.40625,0.01
31343.152461681264,3282.2472504654233,0.49999999999999994,6.354166666666667,0.036828478186799345,"[6.328125, 6.328125, 6.40625]",3,0.004390040965792272,0.0024767477504052133,1.1548409277538714,632,1.264000000000001,pass_completed,True,6.484375,0.01
34770.16940186807,3641.1236252327117,0.49999999999999994,6.328125,0.0,"[6.328125, 6.328125, 6.328125]",3,0.00429720307877131,0.0023326515513618427,1.078768724305823,570,1.1400000000000008,pass_completed,True,6.40625,0.01
38197.18634205488,4000.0,0.49999999999999994,6.328125,0.0,"[6.328125, 6.328125, 6.328125]",3,0.00431408973561642,0.0022581954230088967,1.047714658765704,519,1.0380000000000007,pass_completed,True,6.40625,0.004178232610130287
499.99999999999994,52.35987755982988,0.95,3.046875,0.0,"[3.046875, 3.046875, 3.046875]",3,0.0040078042077452015,0.0016722888453806876,1.38113905260345,4000,7.999999999999341,,True,3.125,0.01
3927.0169401868075,411.23625232711805,0.95,3.6197916666666665,0.03682847818679935,"[3.59375, 3.59375, 3.671875]",3,0.004143814080849728,0.0018429971324187932,0.8858380027667144,4000,7.999999999999341,,True,3.75,0.01
7354.033880373615,770.1126270944062,0.95,4.114583333333333,0.036828478186799345,"[4.140625, 4.140625, 4.0625]",3,0.00426957070342624,0.001748982343800146,0.7630115236612173,2693,5.385999999999629,pass_completed,True,4.140625,0.009068428740308332
10781.050820560422,1128.9890018616943,0.95,4.53125,0.0,"[4.53125, 4.53125, 4.53125]",3,0.004522509637690351,0.0022591154013801495,1.1559985274483286,1837,3.673999999999817,pass_completed,True,4.609375,0.01
14208.06776074723,1487.8653766289826,0.95,4.817708333333333,0.14731391274719738,"[4.921875, 4.609375, 4.921875]",3,0.005117572821816558,0.0024459522256081814,1.2544523357501136,1394,2.7879999999999145,pass_completed,True,5.0,0.01
17635.084700934036,1846.7417513962707,0.95,4.791666666666667,0.1327869664998121,"[4.84375, 4.921875, 4.609375]",3,0.0044472449261920175,0.0018568665321078194,0.9521772009810293,1123,2.2459999999999742,pass_completed,True,4.6875,0.01
21062.101641120844,2205.618126163559,0.95,4.921875,0.0,"[4.921875, 4.921875, 4.921875]",3,0.004599616143457639,0.0019850412588724446,0.9587201320056608,941,1.8820000000000014,pass_completed,True,5.0,0.0031279861227232367
24489.118581307648,2564.494500930847,0.95,5.104166666666667,0.14731391274719738,"[5.0, 5.0, 5.3125]",3,0.004724819372438285,0.002145330457175562,1.0462250889396354,809,1.6180000000000012,pass_completed,True,5.390625,0.01
27916.13552149446,2923.3708756981355,0.95,5.0,0.0,"[5.0, 5.0, 5.0]",3,0.004468875421377392,0.0019358365545586282,0.9519905240603437,710,1.420000000000001,pass_completed,True,5.078125,0.01
31343.152461681264,3282.2472504654233,0.95,5.052083333333333,0.036828478186799345,"[5.078125, 5.0, 5.078125]",3,0.00458574690695156,0.0019391371257328955,0.9854251033733517,632,1.264000000000001,pass_completed,True,5.15625,0.003193643053216826
34770.16940186807,3641.1236252327117,0.95,4.947916666666667,0.0736569563735987,"[4.84375, 5.0, 5.0]",3,0.004576183131090819,0.0019488556282247832,1.015859122372297,570,1.1400000000000008,pass_completed,True,5.078125,0.01
38197.18634205488,4000.0,0.95,5.052083333333333,0.036828478186799345,"[5.078125, 5.0, 5.078125]",3,0.00433434932497552,0.001898521834771793,0.9479871781408694,519,1.0380000000000007,pass_completed,True,5.15625,0.01
